iterations = 2, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 4, 0.004, 0.092, 0.04, 3, 2529400.0, changed = True, neighbourhood = 2 
iterations = 6, 0.004, 0.052, 0.081, 2, 4921600.0, changed = True, neighbourhood = 1 
iterations = 8, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 10, 0.003, 0.066, 0.04, 2, 2348000.0, changed = True, neighbourhood = 1 
iterations = 12, 0.013, 0.163, 0.081, 3, 4782100.0, changed = True, neighbourhood = 1 
iterations = 14, 0.01, 0.082, 0.121, 3, 6990900.0, changed = True, neighbourhood = 1 
iterations = 16, 0.012, 0.075, 0.162, 3, 9154600.0, changed = True, neighbourhood = 1 
iterations = 18, 0.029, 0.145, 0.202, 4, 11604000.0, changed = True, neighbourhood = 1 
iterations = 20, 0.009, 0.038, 0.243, 3, 13787200.0, changed = True, neighbourhood = 1 
iterations = 22, 0.035, 0.123, 0.283, 3, 16000200.0, changed = True, neighbourhood = 2 
iterations = 24, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 26, 0.006, 0.147, 0.04, 3, 2422700.0, changed = True, neighbourhood = 2 
iterations = 28, 0.002, 0.022, 0.081, 2, 4550800.0, changed = True, neighbourhood = 1 
iterations = 30, 0.01, 0.079, 0.121, 4, 6962600.0, changed = True, neighbourhood = 1 
iterations = 32, 0.016, 0.1, 0.162, 6, 9476200.0, changed = True, neighbourhood = 1 
iterations = 34, 0.015, 0.074, 0.202, 4, 11518900.0, changed = True, neighbourhood = 1 
iterations = 36, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 38, 0.004, 0.098, 0.04, 3, 2443100.0, changed = True, neighbourhood = 1 
iterations = 40, 0.005, 0.056, 0.081, 2, 4631200.0, changed = True, neighbourhood = 1 
iterations = 42, 0.001, 0.011, 0.121, 2, 6750000.0, changed = True, neighbourhood = 1 
iterations = 44, 0.019, 0.115, 0.162, 4, 9210400.0, changed = True, neighbourhood = 1 
iterations = 46, 0.018, 0.089, 0.202, 3, 11507200.0, changed = True, neighbourhood = 1 
iterations = 48, 0.025, 0.104, 0.243, 4, 13816700.0, changed = True, neighbourhood = 1 
iterations = 50, 0.023, 0.089, 0.263, 4, 15029600.0, changed = False, neighbourhood = 0 
[{'id': '133_1', 'cost': 2680, 'act': 5587, 'utils': {'Role 1': 0.01, 'Role 2': 0.01}}, {'id': '73_1', 'cost': 1480, 'act': 5663, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '23_1', 'cost': 480, 'act': 6003, 'utils': {'Role 1': 0.04, 'Role 2': 0.0}}, {'id': '3_1', 'cost': 80, 'act': 6230, 'utils': {'Role 1': 0.33, 'Role 2': 0.01}}] 
iterations = 2, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 4, 0.006, 0.149, 0.04, 3, 2455400.0, changed = True, neighbourhood = 1 
iterations = 6, 0.007, 0.091, 0.081, 3, 4761100.0, changed = True, neighbourhood = 2 
iterations = 8, 0.003, 0.066, 0.04, 2, 2411200.0, changed = True, neighbourhood = 2 
iterations = 10, 0.0, 0.0, 0.0, 1, 0, changed = True, neighbourhood = 1 
iterations = 12, 0.006, 0.141, 0.04, 3, 2389000.0, changed = True, neighbourhood = 1 
