iterations = 2, 0.005, 0.08, 0.058, 4, 3414720.0, changed = True, neighbourhood = 25 
iterations = 4, 0.001, 0.008, 0.119, 2, 6683520.0, changed = True, neighbourhood = 22 
iterations = 6, 0.012, 0.124, 0.093, 7, 5446960.0, changed = True, neighbourhood = 20 
iterations = 8, 0.001, 0.013, 0.056, 2, 3107720.0, changed = True, neighbourhood = 22 
iterations = 10, 0.013, 0.108, 0.117, 4, 6613780.0, changed = True, neighbourhood = 17 
iterations = 12, 0.018, 0.099, 0.177, 8, 10094030.0, changed = True, neighbourhood = 16 
iterations = 14, 0.03, 0.126, 0.238, 8, 13604060.0, changed = True, neighbourhood = 21 
iterations = 16, 0.039, 0.131, 0.298, 7, 16576210.0, changed = True, neighbourhood = 22 
iterations = 18, 0.019, 0.052, 0.359, 7, 20014570.0, changed = True, neighbourhood = 18 
iterations = 20, 0.003, 0.034, 0.085, 2, 4722480.0, changed = True, neighbourhood = 22 
iterations = 22, 0.012, 0.08, 0.145, 4, 8161480.0, changed = True, neighbourhood = 20 
iterations = 24, 0.006, 0.063, 0.091, 5, 5174300.0, changed = True, neighbourhood = 21 
iterations = 26, 0.011, 0.123, 0.091, 6, 5249240.0, changed = True, neighbourhood = 21 
iterations = 28, 0.017, 0.115, 0.151, 3, 8257360.0, changed = True, neighbourhood = 18 
iterations = 30, 0.014, 0.068, 0.212, 6, 11708860.0, changed = True, neighbourhood = 18 
iterations = 32, 0.024, 0.087, 0.272, 7, 15047380.0, changed = True, neighbourhood = 18 
iterations = 34, 0.003, 0.072, 0.038, 4, 2128930.0, changed = True, neighbourhood = 14 
iterations = 36, 0.006, 0.147, 0.042, 5, 2339640.0, changed = True, neighbourhood = 11 
iterations = 38, 0.006, 0.122, 0.046, 6, 2568440.0, changed = True, neighbourhood = 10 
iterations = 40, 0.004, 0.081, 0.05, 6, 2786300.0, changed = True, neighbourhood = 10 
iterations = 42, 0.012, 0.221, 0.054, 8, 3018530.0, changed = True, neighbourhood = 10 
iterations = 44, 0.031, 0.524, 0.058, 10, 5773130.0, changed = True, neighbourhood = 11 
iterations = 45, 0.031, 0.524, 0.058, 10, 5773130.0, changed = False, neighbourhood = 9 
iterations = 46, 0.031, 0.524, 0.058, 10, 5773130.0, changed = False, neighbourhood = 14 
iterations = 48, 0.018, 0.311, 0.058, 10, 4768130.0, changed = False, neighbourhood = 6 
iterations = 49, 0.018, 0.311, 0.058, 10, 4768130.0, changed = False, neighbourhood = 4 
iterations = 50, 0.018, 0.311, 0.058, 10, 4768130.0, changed = False, neighbourhood = 8 
[{'id': '27_2', 'cost': 580, 'act': 5461, 'utils': {'Role 1': 0.03, 'Role 2': 0.02}}, {'id': '30_1', 'cost': 620, 'act': 5339, 'utils': {'Role 1': 0.03, 'Role 2': 0.0}}, {'id': '5_1', 'cost': 120, 'act': 5920, 'utils': {'Role 1': 0.18, 'Role 2': 0.0}}, {'id': '5_2', 'cost': 140, 'act': 5894, 'utils': {'Role 1': 0.19, 'Role 2': 0.0}}, {'id': '4_1', 'cost': 100, 'act': 6064, 'utils': {'Role 1': 0.25, 'Role 2': 0.02}}, {'id': '5_3', 'cost': 160, 'act': 5654, 'utils': {'Role 1': 0.19, 'Role 2': 0.01}}, {'id': '6_4', 'cost': 200, 'act': 5560, 'utils': {'Role 1': 0.15, 'Role 2': 0.0}}, {'id': '2_1', 'cost': 60, 'act': 8655, 'utils': {'Role 1': 0.44, 'Role 2': 0.02}}, {'id': '1_1', 'cost': 40, 'act': 151326, 'utils': {'Role 1': 0.96, 'Role 2': 0.02}}, {'id': '3_1', 'cost': 80, 'act': 6670, 'utils': {'Role 1': 0.35, 'Role 2': 0.31}}] 
iterations = 2, 0.005, 0.075, 0.061, 3, 3460480.0, changed = True, neighbourhood = 21 
iterations = 4, 0.004, 0.069, 0.062, 3, 3535880.0, changed = True, neighbourhood = 19 
iterations = 6, 0.005, 0.038, 0.123, 4, 6965630.0, changed = True, neighbourhood = 20 
iterations = 8, 0.014, 0.077, 0.183, 5, 10416720.0, changed = True, neighbourhood = 20 
iterations = 10, 0.007, 0.119, 0.06, 3, 3464120.0, changed = True, neighbourhood = 18 
