iterations = 0, 0.721, 0.996, 0.724, 30, 10627356192.191343, changed = True, neighbourhood = 0 
iterations = 1, 0.721, 0.995, 0.724, 30, 3722841003.2872343, changed = True, neighbourhood = 0 
iterations = 2, 0.717, 0.99, 0.724, 30, 2456348913.6168594, changed = True, neighbourhood = 0 
iterations = 3, 0.844, 0.99, 0.852, 30, 3916567472.477731, changed = True, neighbourhood = 0 
iterations = 4, 0.845, 0.991, 0.852, 30, 3379123127.85234, changed = True, neighbourhood = 0 
iterations = 5, 0.844, 0.99, 0.852, 30, 2873121459.666735, changed = True, neighbourhood = 0 
iterations = 6, 0.863, 0.993, 0.869, 30, 2952838086.7244153, changed = True, neighbourhood = 0 
iterations = 7, 0.863, 0.993, 0.869, 30, 2346787302.36175, changed = True, neighbourhood = 0 
iterations = 8, 0.877, 0.993, 0.883, 30, 2649790273.8022094, changed = True, neighbourhood = 0 
iterations = 9, 0.878, 0.993, 0.883, 30, 2432186099.3617253, changed = True, neighbourhood = 0 
iterations = 10, 0.878, 0.993, 0.883, 30, 2171010162.993234, changed = True, neighbourhood = 0 
iterations = 11, 0.878, 0.994, 0.883, 30, 2046031250.620726, changed = True, neighbourhood = 0 
iterations = 12, 0.872, 0.994, 0.878, 30, 2482757015.7345786, changed = True, neighbourhood = 0 
iterations = 13, 0.874, 0.996, 0.878, 30, 2501065906.4096894, changed = True, neighbourhood = 0 
iterations = 14, 0.874, 0.996, 0.878, 30, 2468921769.289818, changed = True, neighbourhood = 0 
iterations = 15, 0.894, 0.996, 0.898, 30, 2967673444.3539963, changed = True, neighbourhood = 0 
iterations = 16, 0.894, 0.996, 0.898, 30, 3044350654.4273734, changed = True, neighbourhood = 0 
iterations = 17, 0.894, 0.996, 0.898, 30, 2948043922.138096, changed = True, neighbourhood = 0 
iterations = 18, 0.894, 0.996, 0.898, 30, 3002661104.489736, changed = True, neighbourhood = 0 
iterations = 19, 0.894, 0.996, 0.898, 30, 2945135491.9560385, changed = True, neighbourhood = 0 
iterations = 20, 0.894, 0.996, 0.898, 30, 2947786558.812346, changed = True, neighbourhood = 0 
iterations = 21, 0.894, 0.996, 0.898, 30, 2859369982.751217, changed = True, neighbourhood = 0 
iterations = 22, 0.894, 0.996, 0.898, 30, 2804495921.981312, changed = True, neighbourhood = 0 
iterations = 23, 0.894, 0.996, 0.898, 30, 2803307060.009397, changed = True, neighbourhood = 0 
iterations = 24, 0.894, 0.996, 0.898, 30, 2850398446.5016828, changed = True, neighbourhood = 0 
iterations = 25, 0.894, 0.996, 0.898, 30, 2695814773.661707, changed = True, neighbourhood = 0 
iterations = 26, 0.894, 0.996, 0.898, 30, 2710120335.1750584, changed = True, neighbourhood = 0 
iterations = 27, 0.894, 0.996, 0.898, 30, 2858718254.227312, changed = True, neighbourhood = 0 
iterations = 28, 0.894, 0.996, 0.898, 30, 2734307495.7091465, changed = True, neighbourhood = 0 
iterations = 29, 0.894, 0.996, 0.898, 30, 2710278110.2352767, changed = True, neighbourhood = 0 
iterations = 30, 0.894, 0.996, 0.898, 30, 2654043568.0974016, changed = True, neighbourhood = 0 
iterations = 31, 0.894, 0.996, 0.898, 30, 2777263100.989881, changed = True, neighbourhood = 0 
iterations = 32, 0.894, 0.996, 0.898, 30, 2709247799.7778006, changed = True, neighbourhood = 0 
