iterations = 2, 0.02, 0.203, 0.1, 4, 219625840.0, changed = True, neighbourhood = 305 
iterations = 4, 0.056, 0.281, 0.2, 7, 347256220.0, changed = True, neighbourhood = 285 
iterations = 6, 0.08, 0.352, 0.226, 7, 331471760.0, changed = True, neighbourhood = 318 
iterations = 8, 0.091, 0.353, 0.258, 9, 362218470.0, changed = True, neighbourhood = 292 
iterations = 10, 0.15, 0.422, 0.355, 9, 393905250.0, changed = True, neighbourhood = 386 
iterations = 12, 0.176, 0.419, 0.419, 11, 407175530.0, changed = True, neighbourhood = 293 
iterations = 14, 0.214, 0.414, 0.516, 15, 468133180.0, changed = True, neighbourhood = 317 
iterations = 16, 0.33, 0.539, 0.613, 20, 499076560.0, changed = True, neighbourhood = 470 
iterations = 18, 0.554, 0.806, 0.688, 17, 684145390.0, changed = True, neighbourhood = 426 
iterations = 20, 0.435, 0.625, 0.697, 18, 1095690820.0, changed = True, neighbourhood = 215 
iterations = 22, 0.633, 0.835, 0.758, 21, 2084057950.0, changed = True, neighbourhood = 176 
iterations = 23, 0.633, 0.835, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 158 
iterations = 24, 0.627, 0.828, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 145 
iterations = 25, 0.619, 0.817, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 156 
iterations = 26, 0.582, 0.768, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 158 
iterations = 27, 0.582, 0.768, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 158 
iterations = 28, 0.582, 0.768, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 159 
iterations = 29, 0.582, 0.768, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 159 
iterations = 30, 0.582, 0.768, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 158 
iterations = 31, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 159 
iterations = 32, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 161 
iterations = 33, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 164 
iterations = 34, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 164 
iterations = 35, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 164 
iterations = 36, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 164 
iterations = 37, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 38, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 39, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 40, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 41, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 42, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 43, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 44, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 45, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 46, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 47, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 48, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 49, 0.578, 0.763, 0.758, 21, 2084057950.0, changed = False, neighbourhood = 165 
iterations = 50, 0.561, 0.763, 0.735, 21, 2084057950.0, changed = False, neighbourhood = 165 
